ORD-00001,2025-04-13 00:00:00.000,CUST-0100,Customer 100,Bago,Pyay,Furniture,Desk,5,292900,0,1464500,1050000,414500,Bank Transfer,Nandar,Completed
ORD-00002,2025-05-11 00:00:00.000,CUST-0022,Customer 022,Yangon,Hlaing,Furniture,Bookshelf,6,165600,0.15,844560,690000,154560,KBZ Pay,Thiri,Completed
ORD-00003,2026-07-15 00:00:00.000,CUST-0108,Customer 108,Mandalay,Chanmyathazi,Electronics,Headphones,4,93000,0.05,353400,220000,133400,Wave Money,May Zin,Completed
ORD-00004,2025-09-01 00:00:00.000,CUST-0250,Customer 250,Mandalay,Chanmyathazi,Accessories,Laptop Bag,5,74400,0,-372000,-215000,-157000,KBZ Pay,Aung Aung,Returned
ORD-00005,2025-12-12 00:00:00.000,CUST-0164,Customer 164,Yangon,Mayangone,Electronics,Headphones,7,96700,0.1,609210,385000,224210,Cash,Su Su,Completed
ORD-00006,2026-01-23 00:00:00.000,CUST-0190,Customer 190,Yangon,Hlaing,Electronics,Headphones,6,87900,0.1,474660,330000,144660,KBZ Pay,Htet Htet,Completed
ORD-00007,2025-09-27 00:00:00.000,CUST-0111,Customer 111,Naypyidaw,Pyinmana,Electronics,Monitor,4,389400,0.02,1526448,1200000,326448,KBZ Pay,Thiri,Completed
ORD-00008,2025-08-05 00:00:00.000,CUST-0236,Customer 236,Yangon,Mayangone,Electronics,Laptop,7,1183100,0,8281700,6650000,1631700,Cash,Nandar,Completed
ORD-00009,2026-04-17 00:00:00.000,CUST-0028,Customer 028,Yangon,Tamwe,Furniture,Meeting Table,3,542600,0,1627800,1095000,532800,Cash,May Zin,Completed
ORD-00010,2025-07-20 00:00:00.000,CUST-0035,Customer 035,Naypyidaw,Zabuthiri,Electronics,Monitor,7,431300,0.08,2777572,2100000,677572,Wave Money,Aung Aung,Completed
ORD-00011,2026-04-07 00:00:00.000,CUST-0124,Customer 124,Bago,Bago,Office Supplies,Mouse,6,28000,0.05,159600,90000,69600,KBZ Pay,Thiri,Completed
ORD-00012,2026-07-29 00:00:00.000,CUST-0029,Customer 029,Shan,Taunggyi,Electronics,Headphones,4,101200,0.02,396704,220000,176704,Wave Money,Htet Htet,Completed
ORD-00013,2026-06-09 00:00:00.000,CUST-0108,Customer 108,Yangon,Tamwe,Furniture,Bookshelf,2,188900,0.05,-358910,-230000,-128910,Credit Card,Htet Htet,Returned
ORD-00014,2025-12-06 00:00:00.000,CUST-0190,Customer 190,Shan,Muse,Electronics,Monitor,4,410300,0.1,1477080,1200000,277080,Wave Money,Aung Aung,Completed
ORD-00015,2025-09-16 00:00:00.000,CUST-0118,Customer 118,Yangon,Mayangone,Office Supplies,Keyboard,5,46400,0.02,227360,130000,97360,Wave Money,Nandar,Completed
ORD-00016,2026-04-17 00:00:00.000,CUST-0113,Customer 113,Naypyidaw,Naypyidaw,Electronics,Smartphone,4,623700,0.08,2295216,1880000,415216,Bank Transfer,Nandar,Completed
ORD-00017,2025-03-22 00:00:00.000,CUST-0053,Customer 053,Yangon,Hlaing,Office Supplies,Keyboard,7,43400,0.1,273420,182000,91420,KBZ Pay,Htet Htet,Completed
ORD-00018,2026-02-20 00:00:00.000,CUST-0240,Customer 240,Mandalay,Chanmyathazi,Furniture,Meeting Table,1,539000,0.02,528220,365000,163220,Wave Money,Nandar,Completed
ORD-00019,2025-07-20 00:00:00.000,CUST-0148,Customer 148,Yangon,Hlaing,Furniture,Meeting Table,4,505500,0.02,1981560,1460000,521560,Wave Money,Nandar,Completed
ORD-00020,2026-05-04 00:00:00.000,CUST-0099,Customer 099,Naypyidaw,Pyinmana,Accessories,USB Drive,3,31200,0,-93600,-54000,-39600,KBZ Pay,May Zin,Returned
ORD-00021,2025-05-24 00:00:00.000,CUST-0247,Customer 247,Bago,Bago,Office Supplies,Printer,2,410200,0.15,697340,560000,137340,Wave Money,Aung Aung,Completed
ORD-00022,2025-08-21 00:00:00.000,CUST-0227,Customer 227,Yangon,Mayangone,Furniture,Bookshelf,1,184100,0,184100,115000,69100,Credit Card,Nandar,Completed
ORD-00023,2026-05-25 00:00:00.000,CUST-0228,Customer 228,Shan,Taunggyi,Electronics,Headphones,6,95700,0.08,528264,330000,198264,Cash,Aung Aung,Completed
ORD-00024,2026-08-03 00:00:00.000,CUST-0115,Customer 115,Yangon,Yangon,Electronics,Headphones,7,98400,0.02,675024,385000,290024,Wave Money,Kyaw Kyaw,Completed
ORD-00025,2026-01-10 00:00:00.000,CUST-0028,Customer 028,Yangon,Hlaing,Accessories,USB Drive,3,34000,0.05,96900,54000,42900,Cash,May Zin,Completed
